full_name,prize_year,mfa_degree,elite_institution,stegner,prize_name
Andrea Lawlor,2020,"University of Massachusetts, Amherst",,,Whiting Award
Will Arbery,2020,Northwestern University,,,Whiting Award
Jake Skeets,2020,Institute of American Indian Arts,,,Whiting Award
Jaquira Diaz,2020,University of San Francisco,,,Whiting Award
Jia Tolentino,2020,University of Michigan,,,Whiting Award
Genevieve Sly Crane,2020,SUNY Stonybrook,,,Whiting Award
Aria Aber,2020,New York University,,,Whiting Award
Diannely Antigua,2020,New York University,,,Whiting Award
Ling Ma,2020,Cornell University,"University of Chicago, Cornell University",,Whiting Award
Genya Turovskaya,2020,Bard College,,,Whiting Award
Kayleb Rae Candrilli,2019,University of Alabama,,,Whiting Award
Michaelr Jackson,2019,Tisch School of the Arts,,,Whiting Award
Tyree Daye,2019,North Carolina State University,,,Whiting Award
Herman Diaz,2019,,,,Whiting Award
Merritt Tierce,2019,University of Iowa,,,Whiting Award
Nafissa Thompson-Spires,2019,University of Illinois,,,Whiting Award
Vanessa Angélica Villarreal,2019,University of Colorado,,,Whiting Award
Nadia Owusu,2019,Southern New Hampshire University,,,Whiting Award
Terese Marie Mailhot,2019,Institute of American Indian Arts,,,Whiting Award
Rickey Laurentiis,2018,Washington University,,,Whiting Award
Nathanalan Davis,2018,Indiana University,,,Whiting Award
Patrick Cottrell,2018,Art Institute of Chicago,,,Whiting Award
Brontez Purnell,2018,,,,Whiting Award
Tommy Pico,2018,,,,Whiting Award
Anne Boyer,2018,Wichita State University,,,Whiting Award
Esme Weijun Wang,2018,University of Michigan,Stanford University,,Whiting Award
Antoinette Nwanda,2018,,Harvard University,,Whiting Award
Weike Wang,2018,,Harvard University,,Whiting Award
Philip Williams,2017,Washington University,,,Whiting Award
Tony Tulathimutte,2017,University of Iowa,Stanford University,,Whiting Award
Francisco Cantú,2017,University of Arizona,,,Whiting Award
James Ijames,2017,Temple University,,,Whiting Award
Clarence Coo,2017,Columbia University,Columbia University,,Whiting Award
Jen Beagin,2017,"Univeristy of California, Irvine",,,Whiting Award
Simone White,2017,New School for Social Research,,,Whiting Award
Kaitlyn Greenidge,2017,Hunter College,,,Whiting Award
Clare Barron,2017,Brooklyn College,Yale University,,Whiting Award
Lisa Halliday,2017,,,,Whiting Award
Brian Blanchfield,2016,Warren Wilson College,,,Whiting Award
Mitchell Jackson,2016,New York University,,,Whiting Award
Ocean Vuong,2016,New York University,,,Whiting Award
J. D. Daniels,2016,Boston University,,,Whiting Award
Alice Sola Kim,2016,Washington University,Stanford University,,Whiting Award
Safiya Sinclair,2016,University of Virginia,,,Whiting Award
Madeleine George,2016,New York University,Cornell University,,Whiting Award
Catherine Lacey,2016,Columbia University,Columbia University,,Whiting Award
LaTasha N. Nevada Diggs,2016,California Institute of the Arts,,,Whiting Award
Layli Long Soldier,2016,Bard College,,,Whiting Award
Roger Reeves,2015,"University of Texas, Austin",,,Whiting Award
Dan Josefson,2015,University of Nevada,,,Whiting Award
Anthony Carelli,2015,New York University,,,Whiting Award
Lucas Hnath,2015,,,,Whiting Award
Elena Passarello,2015,University of Iowa,,,Whiting Award
Anne Washburn,2015,New York University,,,Whiting Award
Aracelis Girmay,2015,New York University,,,Whiting Award
Azareen Van Der Vliet Oloomi,2015,Brown University,Brown University,,Whiting Award
Jenny Johnson,2015,,,,Whiting Award
Leopoldine Core,2015,,,,Whiting Award
Ishion Hutchinson,2013,New York University,,,Whiting Award
Rowan Ricardo Phillips,2013,,Brown University,,Whiting Award
Morgan Meis,2013,,,,Whiting Award
Clifford Thompson,2013,,,,Whiting Award
Hannah Dela Cruz Abrams,2013,University of North Carolina,,,Whiting Award
Amanda Coplin,2013,University of Minnesota,,,Whiting Award
Jenniferdu Dubois,2013,University of Iowa,,,Whiting Award
Stephanie Powell Watts,2013,,,,Whiting Award
Virginia Grise,2013,,,,Whiting Award
C. E. Morgan,2013,,,,Whiting Award
Atsuro Riley,2012,,,,Whiting Award
Anthony Marra,2012,University of Iowa,Stanford University,Stegner,Whiting Award
Samuel Hunter,2012,University of Iowa,,,Whiting Award
Alan Heathcock,2012,"Bowling Green State University, Boise State University",,,Whiting Award
Ciaran Berry,2012,,,,Whiting Award
Mona Mansour,2012,,,,Whiting Award
Meg Miroshnik,2012,Yale University,,,Whiting Award
Hanya Yanagihara,2012,University of Michigan,,,Whiting Award
Danai Gurira,2012,New York University,,,Whiting Award
Sharifa Rhodes Pitts,2012,,Harvard University,,Whiting Award
Paul Clemens,2011,,,,Whiting Award
Teddy Wayne,2011,Washington University,Harvard University,,Whiting Award
Daniel Orozco,2011,University of Washington,Stanford University,Stegner,Whiting Award
Eduardo Corral,2011,University of Iowa,,,Whiting Award
Shane McCrae,2011,University of Iowa,,,Whiting Award
Scott Blackwood,2011,Texas State University,,,Whiting Award
Ryan Call,2011,George Mason University,,,Whiting Award
Amy Herzog,2011,Yale University,Yale University,,Whiting Award
Kerri Webster,2011,Indiana University,,,Whiting Award
Don Mee Choi,2011,,,,Whiting Award
Michael Dahlie,2010,Washington University,,,Whiting Award
Rattawut Lapcharoensap,2010,University of Michigan,Cornell University,,Whiting Award
David Adjmi,2010,University of Iowa,,,Whiting Award
Matt Donovan,2010,New York University,,,Whiting Award
Saïd Sayrafiezadeh,2010,,,,Whiting Award
Lydia Peelle,2010,University of Virginia,,,Whiting Award
Amy Leach,2010,University of Iowa,,,Whiting Award
L. B. Thompson,2010,New York University,,,Whiting Award
Elif Batuman,2010,,"Harvard University, Stanford University",,Whiting Award
Jane Springer,2010,,,,Whiting Award
Jericho Brown,2009,University of New Orleans,,,Whiting Award
Jay Hopler,2009,University of Iowa,,,Whiting Award
Salvatore Scibona,2009,University of Iowa,,,Whiting Award
Vu Tran,2009,University of Iowa,,,Whiting Award
Rajiv Joseph,2009,New York University,,,Whiting Award
Adam Johnson,2009,McNeese State University,Stanford University,Stegner,Whiting Award
Hugh Raffles,2009,,Yale University,,Whiting Award
Michael Meyer,2009,,,,Whiting Award
Nami Mun,2009,University of Michigan,,,Whiting Award
Joan Kane,2009,Columbia University,"Harvard University, Columbia University",,Whiting Award
Lysley Tenorio,2008,University of Oregon,,,Whiting Award
Donovan Hohn,2008,University of Michigan,,,Whiting Award
